Image,Description,Question,Option A,Option B,Option C,Option D,Correct Answer
https://radiopaedia.org/images/11822741,Ultrasound showing a first trimester viable intrauterine pregnancy,"What does this ultrasound demonstrate?",Ectopic pregnancy,Molar pregnancy,Viable intrauterine pregnancy,Ovarian cyst,Viable intrauterine pregnancy
https://library.louisville.edu/kornhauser/obgyn/images/placenta_previa.jpg,Placenta previa covering cervical os on ultrasound,"What obstetric complication is shown?",Placenta previa,Placental abruption,Normal placenta,Placenta accreta,Placenta previa
https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Vaginal_speculum_closed_and_opened.jpg/320px-Vaginal_speculum_closed_and_opened.jpg,Bivalve vaginal speculum used in cervical exams,"Identify this instrument",Vaginal speculum,Tenaculum,Curette,Cervical brush,Vaginal speculum
https://radiopaedia.org/images/241865,Endometriotic "powder burn" lesions seen laparoscopically,"What condition do these lesions indicate?",Endometriosis,Pelvic inflammatory disease,Ovarian cyst,Fibroids,Endometriosis
https://radiopaedia.org/images/771373,Ultrasound of hydrosalpinx with characteristic elongated, tubular cystic structure,"What does this ultrasound image show?",Hydrosalpinx,Ovarian torsion,Ectopic pregnancy,Ovarian cyst,Hydrosalpinx
https://library.louisville.edu/kornhauser/obgyn/images/ectopic_pregnancy_ultrasound.jpg,Ultrasound showing adnexal mass adjacent to empty uterus,"Most likely diagnosis?",Normal pregnancy,Ectopic pregnancy,Ovarian cyst,Molar pregnancy,Ectopic pregnancy
https://radiopaedia.org/images/6265849,Ultrasound showing typical appearances of polycystic ovaries,"Which condition is characterized by this ultrasound?",Polycystic ovary syndrome,Ovarian hyperstimulation syndrome,Ovarian cancer,Ovarian cyst,Polycystic ovary syndrome
https://upload.wikimedia.org/wikipedia/commons/7/7c/Colposcopy_aceto-white_lesions_weak_moderate.jpg,Colposcopic image with aceto-white lesions,"What is the likely diagnosis?",Normal cervix,Low grade CIN,High grade CIN,Cervical cancer,Low grade CIN
https://radiopaedia.org/images/2196057,Normal fetal heart rate tracing with early decelerations,"Which fetal heart rate pattern is seen?",Normal,Early deceleration,Late deceleration,Variable deceleration,Early deceleration
https://library.louisville.edu/kornhauser/obgyn/images/myomectomy.jpg,Intraoperative image of abdominal myomectomy to remove large uterine fibroids,"What is the surgical procedure shown?",Myomectomy,Hysterectomy,Endometrial ablation,Cesarean section,Myomectomy
